"","Agrupacion","Cargo","Codigo","Distrito","Establecimiento","Fecha","IdCargo","IdCircuito","IdDistrito","IdSeccion","Mesa","Seccion","electores","envio","idAgrupacion","idAgrupacionInt","tipoVoto","votos"
"82",NA,"CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,NA,NA,"nulos",1
"83",NA,"CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,NA,NA,"recurridos",0
"84",NA,"CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,NA,NA,"comando",0
"85",NA,"CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,NA,NA,"impugnados",0
"86","FRENTE DE TODOS","CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,507,44,"positivo",105
"87","JUNTOS","CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,506,43,"positivo",84
"88","FRENTE VAMOS CON VOS","CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,508,45,"positivo",16
"89","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,504,41,"positivo",13
"90","AVANZA LIBERTAD","CONCEJALES",6238,"Buenos Aires","ESCUELA EP N°62","14-11-2021 19:15",7,"261",2,62,"00141X","Lanús",352,10,503,40,"positivo",10
"91",NA,"CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,NA,NA,"blancos",2
"92",NA,"CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,NA,NA,"nulos",2
"93",NA,"CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,NA,NA,"recurridos",0
"94",NA,"CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,NA,NA,"comando",0
"95",NA,"CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,NA,NA,"impugnados",0
"96","JUNTOS","CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,506,43,"positivo",112
"97","FRENTE DE TODOS","CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,507,44,"positivo",89
"98","AVANZA LIBERTAD","CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,503,40,"positivo",16
"99","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,504,41,"positivo",16
"100","FRENTE VAMOS CON VOS","CONCEJALES",10488,"Buenos Aires","ESCUELA EP N°50/ES N°32","14-11-2021 19:15",7,"261",2,62,"00198X","Lanús",351,10,508,45,"positivo",13
"101",NA,"CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,NA,NA,"blancos",3
"102",NA,"CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,NA,NA,"nulos",3
"103",NA,"CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,NA,NA,"recurridos",0
"104",NA,"CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,NA,NA,"comando",0
"105",NA,"CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,NA,NA,"impugnados",0
"106","JUNTOS","CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,506,43,"positivo",101
"107","FRENTE DE TODOS","CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,507,44,"positivo",94
"108","AVANZA LIBERTAD","CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,503,40,"positivo",15
"109","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD","CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,504,41,"positivo",15
"110","FRENTE VAMOS CON VOS","CONCEJALES",29468,"Buenos Aires","COLEGIO .BENITO QUINQUELA MARTIN","14-11-2021 19:15",7,"261",2,62,"00221X","Lanús",349,10,508,45,"positivo",6
"111",NA,"CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,NA,NA,"blancos",11
"112",NA,"CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,NA,NA,"nulos",0
"113",NA,"CONCEJALES",6256,"Buenos Aires","ESCUELA EP N°63/ES N°42","14-11-2021 19:15",7,"262",2,62,"00271X","Lanús",353,10,NA,NA,"recurridos",0
